Business Name, Email, Website, Phone
"Knickknack Cafe", "Not Found", "Send Email knickknackcafe@yahoo.com.au", "tel:0292680725"
"GPO Restaurants, Bars, Cafes &amp; Food Emporium", "http://www.gposydney.com/", "Send Email functions@gposydney.com", "tel:0292297700"
"Indochine Cafe", "http://www.indochinecafe.net/", "Send Email info@indochinecafe.net", "tel:0292331088"
"Presse Cafe", "http://pressecafe.com.au/", "Send Email info@pressecafe.com", "tel:0292312277"
"Courtyard Cafe - Da Capo", "http://courtyarddacapo.com.au/", "Send Email dacapo28@me.com", "tel:0293827359"
"Mecca Espresso CQ", "http://meccacq.blogspot.com.au/", "Send Email info@meccacq.com", "tel:0292527668"
"Mecca Espresso King St", "http://meccaespresso.com/", "Send Email info@meccaespresso.com", "tel:0292998828"
"Atelier de Velo", "http://www.atelierdevelo.com/", "Send Email inquiry@atelierdevelo.com", "tel:0290451204"
"Janus", "http://www.janus-sydney.com.au/", "Send Email accounts@janus-sydney.com.au", "tel:0292233997"
"Bambini Trust Restaurant &amp; Wine Room", "http://www.bambinitrust.com.au/", "Send Email info@bambinitrust.com.au", "tel:0292837098"
"Serigo Espresso", "http://www.serigo.com.au/", "Send Email info@serigo.com.au", "tel:0292793050"
"Kosmos Espresso Cafe", "http://www.facebook.com/pages/Kosmos-espresso-cafe/738896149460043?sk=timeline&ref=page_internal", "Send Email kosmosespresso@gmail.com", "tel:0280212951"
"Kent Street Fare", "https://www.facebook.com/kentstreetfare/?ref=py_c", "Send Email tristram@saintdreux.com", "tel:0403879027"
"Espresso Bianco", "Not Found", "Send Email cafeespressobianco@hotmail.com.au", "tel:0292621717"
"Kent St Specialty Caf¿", "http://www.kentstspecialtycafe.com/", "Send Email ksscatering@gmail.com", "tel:0421477815"
"Blackbird Café", "http://www.blackbirdcafe.com.au/", "Send Email info@platinumrestaurantgroup.com", "tel:0292837385"
"City Rock Cafe", "http://www.cityrock-cafe.com/", "Send Email aldo@cityrock-cafe.com", "tel:0451044320"
"Azuma Patisserie", "http://www.azuma.com.au/patisserie", "Send Email patisserie@azuma.com.au", "tel:0292677701"
"Brew Cafe", "http://www.brewcafe.com.au/", "Send Email info@brewcafe.com.au", "tel:0292511577"
"The Chocolate Room", "http://www.thechocolateroom.com.au/", "Send Email yaju@thechocolateroom.com.au", "tel:0292690004"
"Vesta Caffè &amp; Ristorante", "http://www.vestaitalian.com.au/", "Send Email info@vestaitalian.com.au", "tel:0292679644"
"Oliver Brown", "http://www.oliverbrown.com.au/", "Send Email admin@oliverbrown.com.au", "tel:0292612991"
"San Churro", "http://www.sanchurro.com/", "Send Email harbourside@sanchurro.com.au", "tel:0292800668"
"Marocchino Catering", "http://www.marocchino.com.au/", "Send Email eat@marocchino.com.au", "tel:0291130855"
"The Tea Cosy", "http://theteacosy.com.au/", "Send Email info@theteacosy.com.au", "tel:0292474955"
"Gloria Jean's Coffees", "http://www.gloriajeanscoffees.com.au/", "Send Email feedback@gloriajeanscoffees.com.au", "tel:0292120011"
"Le Pain Quotidien", "http://www.lepainquotidien.com.au/", "Send Email info@lpqaus.com", "tel:0282469215"
"Knight's Coffee &amp; Tea Co.", "http://knightscoffeeandtea.com/", "Send Email jake@knightscoffeeandtea.com", "tel:0292800039"
"Cafe Del Mar", "http://www.cafedelmar.com.au/", "Send Email functions@cafedelmar.com.au", "tel:0292676700"
"Starbucks", "http://www.starbucks.com.au/", "Not Found", "tel:0292646433"
"85 Degrees Coffee", "http://www.85cafe.com.au/", "Not Found", "tel:0292648585"
"Deliziosa", "Not Found", "Send Email joanneissa01@gmail.com", "tel:0292210777"
"The Cupcake Bakery", "http://thecupcakebakery.com.au/", "Not Found", "tel:0282469207"
"Pausa Laneway Cafe", "http://www.pausalaneway.com.au/", "Not Found", "tel:0403167360"
"One Four Espresso Wine Bar", "http://www.sydneymenzieshotel.com.au/", "Not Found", "tel:0282351806"
"Knickknack Cafe", "Not Found", "Send Email knickknackcafe@yahoo.com.au", "tel:0292680725"
"GPO Restaurants, Bars, Cafes &amp; Food Emporium", "http://www.gposydney.com/", "Send Email functions@gposydney.com", "tel:0292297700"
"Indochine Cafe", "http://www.indochinecafe.net/", "Send Email info@indochinecafe.net", "tel:0292331088"
"Presse Cafe", "http://pressecafe.com.au/", "Send Email info@pressecafe.com", "tel:0292312277"
"Courtyard Cafe - Da Capo", "http://courtyarddacapo.com.au/", "Send Email dacapo28@me.com", "tel:0293827359"
"Mecca Espresso CQ", "http://meccacq.blogspot.com.au/", "Send Email info@meccacq.com", "tel:0292527668"
"Mecca Espresso King St", "http://meccaespresso.com/", "Send Email info@meccaespresso.com", "tel:0292998828"
"Atelier de Velo", "http://www.atelierdevelo.com/", "Send Email inquiry@atelierdevelo.com", "tel:0290451204"
"Janus", "http://www.janus-sydney.com.au/", "Send Email accounts@janus-sydney.com.au", "tel:0292233997"
"Bambini Trust Restaurant &amp; Wine Room", "http://www.bambinitrust.com.au/", "Send Email info@bambinitrust.com.au", "tel:0292837098"
"Serigo Espresso", "http://www.serigo.com.au/", "Send Email info@serigo.com.au", "tel:0292793050"
"Kosmos Espresso Cafe", "http://www.facebook.com/pages/Kosmos-espresso-cafe/738896149460043?sk=timeline&ref=page_internal", "Send Email kosmosespresso@gmail.com", "tel:0280212951"
"Kent Street Fare", "https://www.facebook.com/kentstreetfare/?ref=py_c", "Send Email tristram@saintdreux.com", "tel:0403879027"
"Espresso Bianco", "Not Found", "Send Email cafeespressobianco@hotmail.com.au", "tel:0292621717"
"Kent St Specialty Caf¿", "http://www.kentstspecialtycafe.com/", "Send Email ksscatering@gmail.com", "tel:0421477815"
"Blackbird Café", "http://www.blackbirdcafe.com.au/", "Send Email info@platinumrestaurantgroup.com", "tel:0292837385"
"City Rock Cafe", "http://www.cityrock-cafe.com/", "Send Email aldo@cityrock-cafe.com", "tel:0451044320"
"Azuma Patisserie", "http://www.azuma.com.au/patisserie", "Send Email patisserie@azuma.com.au", "tel:0292677701"
"Brew Cafe", "http://www.brewcafe.com.au/", "Send Email info@brewcafe.com.au", "tel:0292511577"
"The Chocolate Room", "http://www.thechocolateroom.com.au/", "Send Email yaju@thechocolateroom.com.au", "tel:0292690004"
"Vesta Caffè &amp; Ristorante", "http://www.vestaitalian.com.au/", "Send Email info@vestaitalian.com.au", "tel:0292679644"
"Oliver Brown", "http://www.oliverbrown.com.au/", "Send Email admin@oliverbrown.com.au", "tel:0292612991"
"San Churro", "http://www.sanchurro.com/", "Send Email harbourside@sanchurro.com.au", "tel:0292800668"
"Marocchino Catering", "http://www.marocchino.com.au/", "Send Email eat@marocchino.com.au", "tel:0291130855"
"The Tea Cosy", "http://theteacosy.com.au/", "Send Email info@theteacosy.com.au", "tel:0292474955"
"Gloria Jean's Coffees", "http://www.gloriajeanscoffees.com.au/", "Send Email feedback@gloriajeanscoffees.com.au", "tel:0292120011"
"Le Pain Quotidien", "http://www.lepainquotidien.com.au/", "Send Email info@lpqaus.com", "tel:0282469215"
"Knight's Coffee &amp; Tea Co.", "http://knightscoffeeandtea.com/", "Send Email jake@knightscoffeeandtea.com", "tel:0292800039"
"Cafe Del Mar", "http://www.cafedelmar.com.au/", "Send Email functions@cafedelmar.com.au", "tel:0292676700"
"Starbucks", "http://www.starbucks.com.au/", "Not Found", "tel:0292646433"
"85 Degrees Coffee", "http://www.85cafe.com.au/", "Not Found", "tel:0292648585"
"Deliziosa", "Not Found", "Send Email joanneissa01@gmail.com", "tel:0292210777"
"The Cupcake Bakery", "http://thecupcakebakery.com.au/", "Not Found", "tel:0282469207"
"Pausa Laneway Cafe", "http://www.pausalaneway.com.au/", "Not Found", "tel:0403167360"
"One Four Espresso Wine Bar", "http://www.sydneymenzieshotel.com.au/", "Not Found", "tel:0282351806"
"The Foxhole", "http://www.thefoxhole.com.au/", "Not Found", "tel:0292794969"
"St Dreux Espresso Bar", "http://www.saintdreux.com/", "Not Found", "tel:0409439906"
"Cafe Chicane", "http://www.cafechicane.com.au/", "Not Found", "tel:0292324456"
"Met 2 Cafe", "Not Found", "Send Email natindernsw@gmail.com", "tel:0292610372"
"Searock Grill", "https://searock.com.au/", "Not Found", "tel:0292520777"
"The Cortile", "Not Found", "Send Email restaurant.reservations@interconsydney.com", "tel:0292401396"
"BlueBird Coffee", "http://bluebirdcoffeesydney.com/", "Not Found", "tel:0417662477"
"Bar Adyar cafe", "Not Found", "Send Email tandong2119@gmail.com", "tel:0292831443"
"Cafe Trim", "http://www.sl.nsw.gov.au/", "Not Found", "tel:0292731235"
"Cre Asion", "http://www.creasion.com.au/", "Not Found", "tel:0280211629"
"Bayswiss Pty Ltd", "Not Found", "Send Email worldsquare@bayswiss.com.au", "tel:0282625700"
"Swagman's Post Courtyard Cafe", "Not Found", "Send Email info@swagmanscafe.com.au", "tel:0292415557"
"Cafe Sopra", "Not Found", "Send Email customerservice@fratellifresh.com.au", "tel:0282432700"
"eCater", "http://www.ecater.com.au/dymockscafe", "Not Found", "tel:1300831041"
"My Coffee Room", "Not Found", "Not Found", "tel:0292837383"
"Mleko Bar Espresso", "Not Found", "Not Found", "tel:0292673636"
"Muffin Break", "Not Found", "Not Found", "tel:0292233345"
"MLC Grind", "Not Found", "Not Found", "tel:0292313151"
"Cafe Courtyard", "Not Found", "Not Found", "tel:0292334937"
"Ambar Bar Cafe", "Not Found", "Not Found", "tel:0292233550"
"Society Caffe Bar", "Not Found", "Not Found", "tel:0292320877"
"Roma Coffee Bar", "Not Found", "Not Found", "tel:0292218410"
"Gloria Jean's Coffees", "Not Found", "Not Found", "tel:0292214188"
"GG Espresso", "Not Found", "Not Found", "tel:0292211644"
"Via Del Corso Pasticceria E Caffé", "Not Found", "Not Found", "tel:0280728000"
"Mena Cafe", "Not Found", "Not Found", "tel:0292326649"
"Modus Espresso Pty Ltd", "Not Found", "Not Found", "tel:0292239131"
"Pittstop Cafe", "Not Found", "Not Found", "tel:0292325250"
"Sweet Infinity - George Street", "Not Found", "Not Found", "tel:0292310472"
"Intermezzo Cafe &amp; Bar", "Not Found", "Not Found", "tel:0292297788"
"GPO Bar", "Not Found", "Not Found", "tel:0292297799"
"Expresso GPO", "Not Found", "Not Found", "tel:0292297755"
"Postales Bar and Café", "Not Found", "Not Found", "tel:0292297744"
"Angel Cafe Bar-Licensed", "Not Found", "Not Found", "tel:0292320188"
"Reflections Coffee Lounge", "Not Found", "Not Found", "tel:0292351428"
"GG Espresso", "Not Found", "Not Found", "tel:0292235320"
"Chrysler Cafe Bar Group", "Not Found", "Not Found", "tel:0292314711"
"la Rose Cafe", "Not Found", "Not Found", "tel:0281971086"
"Bar Pronto", "Not Found", "Not Found", "tel:0292380611"
"Dymocks Balcony Coffee Shop", "Not Found", "Not Found", "tel:0292337260"
"Red Rose Coffee Lounge", "Not Found", "Not Found", "tel:0292212624"
"363 Loby Cafe", "Not Found", "Not Found", "tel:0292622756"
"Soul Origin", "Not Found", "Not Found", "tel:0280688882"
"Yespress", "Not Found", "Not Found", "tel:0292998029"
"Daily Grind Piccadilly", "Not Found", "Not Found", "tel:0292660124"
"Chrysler Cafe Bar Group", "Not Found", "Not Found", "tel:0292612966"
"Il Centro Espresso Bar", "Not Found", "Not Found", "tel:0292790011"
"Carrington Cafe", "Not Found", "Not Found", "tel:0292625986"
"Euro Caffe", "Not Found", "Not Found", "tel:0292473366"
"Palomino Espresso", "Not Found", "Not Found", "tel:0414857818"
"Caffe Cino", "Not Found", "Not Found", "tel:0292656093"
"Bar Carino", "Not Found", "Not Found", "tel:0292511522"
"Deli Fresca", "Not Found", "Not Found", "tel:0292475915"
"Cellinis Bar &amp; Restaurant", "Not Found", "Not Found", "tel:0292644671"
"Pavilion Kiosk", "Not Found", "Not Found", "tel:0293323822"
"St Martins Cafe", "Not Found", "Not Found", "tel:0292615422"
"Old Vienna Coffee House", "Not Found", "Not Found", "tel:0292675746"
"Qv Bar Cafe", "Not Found", "Not Found", "tel:0292671122"
"The Palace Tea Room", "Not Found", "Not Found", "tel:0292832222"
"Spilling The Beans Cafe", "Not Found", "Not Found", "tel:0292997371"
"Citi Cafe", "Not Found", "Not Found", "tel:0292832244"
"Cafe Pulsation", "Not Found", "Not Found", "tel:0292902137"
"Maxwell's Takeaway &amp; Catering Services", "Not Found", "Not Found", "tel:0292471417"
"Dorchester Cafe", "Not Found", "Not Found", "tel:0292474058"
"Dough Espresso", "Not Found", "Not Found", "tel:0292678022"
"Workshop Espresso", "Not Found", "Not Found", "tel:0292648836"
"Met Cafe The", "Not Found", "Not Found", "tel:0292510100"
"Primavera Espresso Bar", "Not Found", "Not Found", "tel:0292517612"
"Uno Expresso Cafe", "Not Found", "Not Found", "tel:0292642229"
"Three Beans Cafe", "Not Found", "Not Found", "tel:0292411122"
"By George CBD", "Not Found", "Not Found", "tel:0292515177"
"Cappapino's Cafe", "Not Found", "Not Found", "tel:0292521115"
"Phillips Heritage Cafe Gourmet Eatery", "Not Found", "Not Found", "tel:0292932551"
"Speed Bar Espresso The", "Not Found", "Not Found", "tel:0292644668"
"Size Matters Eatstation Cafe &amp; Small Bar", "Not Found", "Not Found", "tel:0292794369"
"Nook Urban Fresh Bar", "Not Found", "Not Found", "tel:0292995050"
"Platos Cafe", "Not Found", "Not Found", "tel:0292648535"
"Pho Me Cafe", "Not Found", "Not Found", "tel:0292903680"
"Lobby Cafe Sydney", "Not Found", "Not Found", "tel:0292470137"
"Splash Cafe", "Not Found", "Not Found", "tel:0293809969"
"Preese Cafe", "Not Found", "Not Found", "tel:0292514859"
"Espresso On Sussex Lane", "Not Found", "Not Found", "tel:0292793930"
"New Image International", "Not Found", "Not Found", "tel:0292660055"
"Cafe Chocolat Amp Plaza", "Not Found", "Not Found", "tel:0292214499"
"Red Orange Cafe", "Not Found", "Not Found", "tel:0292996267"
"Caffe Lentini", "Not Found", "Not Found", "tel:0292514540"
"Red Barista The", "Not Found", "Not Found", "tel:0292833361"
"Crema Espresso Bar", "Not Found", "Not Found", "tel:0292212101"
"Cafe Nehos", "Not Found", "Not Found", "tel:0292645277"
"Bello Cafe", "Not Found", "Not Found", "tel:0292510105"
"Signature Espresso", "Not Found", "Not Found", "tel:0292613380"
"Bar Bene Pty Ltd", "Not Found", "Not Found", "tel:0292523851"
"Utopia Coffee", "Not Found", "Not Found", "tel:0292523538"
"Doppio Espresso", "Not Found", "Not Found", "tel:0292863367"
"Bar Xpresso", "Not Found", "Not Found", "tel:0292995218"
"Cappuccino Cafe", "Not Found", "Not Found", "tel:0292473857"
